agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Aggressive,5,5.0,101.9263076703377,0,52,176.59817579400365,0.85,0.9005518464265886,S0008_0
Risk_Taker,6,13.240267322645693,102.60882081789525,0,52,175.42351482574247,0.9113081285548745,0.8382680193467797,S0008_0
Opportunist,7,5.0,103.42258638278061,0,52,174.04322043716476,0.8978855181703347,0.8294579007557142,S0008_0
Opportunist,1,5.0,87.33140780766416,1,68,206.11141457426876,0.827048849041842,0.7639689895233711,S0009_0
Defensive,2,5.0,87.06078523998708,0,68,206.75209797823632,0.9325267065675297,0.9530273137397824,S0009_0
Conservative,3,5.0,87.89468122949407,0,68,204.7905487364108,0.95,0.9561126240702922,S0009_0
Aggressive,4,5.0,91.32871646792393,0,68,197.09025480853967,0.85,0.7972001039512043,S0009_0
Balanced,5,8.23990046438264,90.64556060064605,0,68,198.57563768954958,0.9,0.6424891366124601,S0009_0
Adaptive,6,9.055477123348203,93.44051972043883,0,68,192.63591484565285,0.8902217088734299,0.6503849331267675,S0009_0
Risk_Taker,7,7.495554132328548,93.4202977044022,0,68,192.67761334860094,0.905946819052335,0.6942370916191847,S0009_0
