agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Risk_Taker,7,5.0,101.90907890285413,0,61,176.62803151384267,0.9220448361885696,0.6161596472149538,S0044_0
Conservative,1,10.468408745684096,87.89643852134458,1,54,204.78645440940045,0.95,0.7955340889489866,S0045_0
Risk_Taker,2,5.0,89.73281377630386,0,54,200.59551509074979,0.8088596872464231,0.8069008617413214,S0045_0
Balanced,3,5.0,89.76446466739206,0,54,200.52478524431842,0.9,0.7720098679554568,S0045_0
Aggressive,4,5.0,91.38040898958117,0,54,196.97876381853672,0.85,0.6492396924914089,S0045_0
Defensive,5,5.0,93.86488841282028,0,54,191.76499652176136,0.9057360785051224,0.9541071621532375,S0045_0
Opportunist,6,5.0,93.41763687310485,0,54,192.68310141960185,0.8988329054176464,0.807879404225842,S0045_0
Adaptive,7,5.0,95.03415314566452,0,54,189.40559161305228,0.9195476081903385,0.7785003565558093,S0045_0
Defensive,1,10.635109753246411,93.98971293084136,1,63,191.51031999900448,0.9058229072017947,0.9967878185150547,S0046_0
Conservative,2,5.0,96.83200646059827,0,63,185.88894992405582,0.95,0.772208590626819,S0046_0
Opportunist,3,5.0,98.7740871412224,0,63,182.23403041188803,0.9381239234439812,0.9929420001163898,S0046_0
Adaptive,4,5.138943706994823,99.06183534075619,0,63,181.70468917805735,0.8092203566969457,0.9514413508316485,S0046_0
Aggressive,5,5.0,99.53532019440475,0,63,180.84032848685052,0.85,0.6892968077382954,S0046_0
Balanced,6,5.0,99.22477327427917,0,63,181.40631019880516,0.9,0.6164522146152742,S0046_0
Risk_Taker,7,5.0,101.3139142397256,0,63,177.6656260403581,0.9039559612777961,0.9274048226144027,S0046_0
Risk_Taker,1,5.0,88.11004791029404,1,65,204.28998084674777,0.9301165737210099,0.8675511848119991,S0047_0
Balanced,2,8.549292185939175,89.21784910067707,0,65,201.7533507189583,0.9,0.759050695588351,S0047_0
Conservative,3,5.0,88.45393594690562,0,65,203.4957495933757,0.95,0.6056788250306452,S0047_0
Adaptive,4,5.0,91.40650999010792,0,65,196.92251680922917,0.8526960060993272,0.6231775048598376,S0047_0
Defensive,5,5.0,90.32429588111647,0,65,199.281929899474,0.8088200391779982,0.7481464472151295,S0047_0
Aggressive,6,5.0,90.8135576676645,0,65,198.20829028493358,0.85,0.9031804262896866,S0047_0
Opportunist,7,5.0,91.70736614198731,0,65,196.27649072519682,0.8494695393960218,0.8136046718954567,S0047_0
Adaptive,1,5.0,85.6434929489568,1,56,210.17358564214481,0.8039163289291165,0.9323912264398776,S0048_0
Conservative,2,5.0,88.33183957153535,0,56,203.7770308793664,0.95,0.6727575783580241,S0048_0
Risk_Taker,3,5.0,87.99185843119164,0,56,204.56438039748576,0.8773047067162205,0.9690245808359006,S0048_0
Balanced,4,5.0,90.64870304740619,0,56,198.5687538252656,0.9,0.7318968274541584,S0048_0
Opportunist,5,7.056420835722648,91.44730614861805,0,56,196.83466641157057,0.926728473745818,0.680952089671807,S0048_0
Aggressive,6,5.0,91.23829619576884,0,56,197.28557799213644,0.85,0.8546863593946052,S0048_0
Defensive,7,5.0,93.04326838630152,0,56,193.45838030180468,0.8900883380699823,0.745395391363746,S0048_0
Opportunist,1,5.0,94.88861757297816,1,51,189.6960927495474,0.9433809070774143,0.9460079244138413,S0049_0
Conservative,2,5.0,97.18927953480527,0,51,185.20561204030605,0.95,0.8882032299953277,S0049_0
Risk_Taker,3,5.0,97.23957190994507,0,51,185.10982356720012,0.9148520075947503,0.9310124991127724,S0049_0
Balanced,4,5.0,99.37383707281951,0,51,181.1341951786555,0.9,0.8897901270419487,S0049_0
Adaptive,5,5.0,102.0806343892105,0,51,176.3311925685145,0.871431110930927,0.99387561541476,S0049_0
Aggressive,6,5.0,101.54381665272402,0,51,177.26337844439425,0.85,0.7467532701332827,S0049_0
Defensive,7,12.049392992055282,103.12876809843601,0,51,174.53907703832039,0.8521552902722099,0.937979075511743,S0049_0
Conservative,1,14.975903689966929,97.02735827916878,1,59,185.51468698354222,0.95,0.9784354751022896,S0050_0
Adaptive,2,5.0,96.73377411172386,0,59,186.07771861780847,0.9307987304312799,0.6629917379059993,S0050_0
Opportunist,3,6.532261985179274,97.2300729632228,0,59,185.12790797563719,0.9461451037069263,0.7227137279502744,S0050_0
Risk_Taker,4,5.0,98.13105980513939,0,59,183.42816266065935,0.8874565072482509,0.8705044708063839,S0050_0
Balanced,5,5.0,99.27875525339277,0,59,181.30767205992808,0.9,0.647396082672405,S0050_0
Aggressive,6,5.0,101.69750876961275,0,59,176.9954861016065,0.85,0.604268604768979,S0050_0
Defensive,7,6.844946728052924,103.08145919589609,0,59,174.61918118361893,0.8329066109645193,0.7992414263387041,S0050_0
Conservative,1,8.58208210076268,97.43016903016395,1,60,184.74770370589502,0.95,0.6835043243055066,S0051_0
Defensive,2,9.299051322167577,97.89252079250087,0,60,183.87513013536477,0.9453120196802164,0.7410062087310997,S0051_0
Risk_Taker,3,5.0,97.05174437024633,0,60,185.46807290069026,0.8744071212314429,0.9591569329600553,S0051_0
Opportunist,4,5.0,97.99496167003791,0,60,183.68291280737878,0.8264395244564946,0.8040903434009905,S0051_0
Balanced,5,5.0,99.15899723157737,0,60,181.52664410232524,0.9,0.6134954219770604,S0051_0
Adaptive,6,5.0,99.87853944779599,0,60,180.21889486487885,0.8930659365152154,0.6089441400822355,S0051_0
Aggressive,7,5.0,101.67541631876215,0,60,177.03394440567897,0.85,0.6045532606176025,S0051_0
Risk_Taker,1,5.0,84.33405853951268,1,55,213.43689977361322,0.8064051901314053,0.6998191160909452,S0052_0
Opportunist,2,11.431106998759732,86.61464282304192,0,55,207.81705509973537,0.823487786747716,0.8262286760798916,S0052_0
Conservative,3,5.0,87.99347555012541,0,55,204.5606209717937,0.95,0.8281119174366804,S0052_0
Defensive,4,5.0,90.4151057773699,0,55,199.0817778206398,0.8100580173475239,0.6161185794155313,S0052_0
Balanced,5,5.0,89.40111644197395,0,55,201.33976751490516,0.9,0.756203637330836,S0052_0
Aggressive,6,5.0,92.96720683062922,0,55,193.61665918169408,0.85,0.6649820060950835,S0052_0
Adaptive,7,5.0,94.84920561747495,0,55,189.77491569717156,0.8711363095924024,0.984428957821997,S0052_0
Risk_Taker,1,5.0,87.86991755036252,1,66,204.84826322595927,0.9207250712550205,0.94811643397392,S0053_0
Adaptive,2,5.0,86.68325061105877,0,66,207.65257270709247,0.8937312128793643,0.9588646878365996,S0053_0
Conservative,3,13.397331844965292,88.17355936446494,0,66,204.14283068234883,0.95,0.9498253494450133,S0053_0
Opportunist,4,6.334574757458679,88.18106575376807,0,66,204.12545307926086,0.899944203861429,0.8862397111171065,S0053_0
Balanced,5,5.622549138258364,89.59426472026725,0,66,200.90571708133226,0.9,0.6459117719233841,S0053_0
Defensive,6,5.0,89.5795525018708,0,66,200.93871310223486,0.9064700647787279,0.6094527701419221,S0053_0
Aggressive,7,5.0,92.52182656059858,0,66,194.54868833799583,0.85,0.9651801527511734,S0053_0
Opportunist,1,10.367886617027233,94.45641692568412,1,50,190.56407797219256,0.9401429039176811,0.82681818368667,S0054_0
Conservative,2,5.0,97.25701429977393,0,50,185.0766253683138,0.95,0.6370437714150173,S0054_0
Adaptive,3,5.0,99.287357501211,0,50,181.29196357935555,0.8585820885835704,0.7463902674521813,S0054_0
Balanced,4,8.037820714612307,99.98633285848247,0,50,180.02460421742475,0.9,0.9098405885115691,S0054_0
Risk_Taker,5,5.0,100.66603814844362,0,50,178.80906342471664,0.8302466914538748,0.9190223270053195,S0054_0
Aggressive,6,5.0,101.57363720776596,0,50,177.2113364728834,0.85,0.8933889868069516,S0054_0
Defensive,7,5.0,102.8069222696991,0,50,175.08548648873662,0.8160175485684479,0.6239153380860173,S0054_0
Opportunist,1,10.72772682136003,85.51481335001382,1,69,210.48984725401485,0.9278173360583579,0.6364867925042291,S0055_0
