agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Defensive,1,5.0,88.05802399832942,1,65,204.410673584289,0.8743753084899322,0.9786125368114527,S0003_0
Conservative,2,9.817299829639225,87.97597295229463,0,65,204.60131779117216,0.95,0.7572219525040716,S0003_0
Adaptive,3,5.295287638527981,89.23578748029986,0,65,201.71279380454587,0.9355503234242377,0.709897955177858,S0003_0
Risk_Taker,4,5.0,90.27322655293169,0,65,199.3946675811538,0.9463104907915001,0.958837662426486,S0003_0
Balanced,5,5.603936169853803,89.24303786357027,0,65,201.69640602684757,0.9,0.9747353288338587,S0003_0
Aggressive,6,5.0,91.49340999157538,0,65,196.7354807483667,0.85,0.9061586359346779,S0003_0
Opportunist,7,5.0,92.63043800570811,0,65,194.3205752615657,0.9087921933624202,0.6088177993839193,S0003_0
Opportunist,1,5.0,84.92961427796995,1,59,211.94020664084252,0.8295415413544414,0.6468601442919945,S0004_0
Risk_Taker,2,5.0,86.93186319209568,0,59,207.0587163215968,0.9115718023520945,0.6375144985429946,S0004_0
Conservative,3,9.3754034482975,88.13798339657629,0,59,204.22523078397558,0.95,0.6145861615047773,S0004_0
Defensive,4,5.0,90.20222442764775,0,59,199.55161986540597,0.8016375860643121,0.8615971513100977,S0004_0
Balanced,5,5.0,90.39131897009248,0,59,199.13416692100276,0.9,0.6608468343969113,S0004_0
Adaptive,6,5.0,91.30522482161153,0,59,197.1409635666269,0.8121736942189158,0.9064596546418373,S0004_0
Aggressive,7,5.0,92.77477876308393,0,59,194.01824763135292,0.85,0.9981700308023176,S0004_0
Opportunist,1,5.0,88.80111449545325,1,67,202.7001586891303,0.8537972717657202,0.8293733833036919,S0005_0
Conservative,2,5.0,88.08603224598777,0,67,204.34567820847533,0.95,0.606628782684111,S0005_0
Balanced,3,8.461378619469874,90.75808416933137,0,67,198.32943990329946,0.9,0.9822326666354195,S0005_0
Risk_Taker,4,5.0,90.80043171468353,0,67,198.23694293172818,0.9064796123194039,0.7096276986814215,S0005_0
Defensive,5,5.0,92.20953297700042,0,67,195.20758232762867,0.8731825818658738,0.6686814109761748,S0005_0
Aggressive,6,5.0,91.81365550286476,0,67,196.0492685038378,0.85,0.7305749722744812,S0005_0
Adaptive,7,10.553545729657662,92.93286826371906,0,67,193.68820027076677,0.936191205943859,0.8226428582393415,S0005_0
Defensive,1,5.0,84.07563688268027,1,53,214.09293663891393,0.8107041081382789,0.8296172809275636,S0006_0
Conservative,2,14.173735591171434,88.3136099054866,0,53,203.81909446645466,0.95,0.7743127589207982,S0006_0
Balanced,3,5.0,89.35347683432093,0,53,201.44711361792412,0.9,0.8964012263678709,S0006_0
Aggressive,4,5.0,91.9046308737433,0,53,195.85520151566715,0.85,0.6706660380533692,S0006_0
Adaptive,5,5.0,90.80859855760295,0,53,198.21911455424558,0.8632962552646849,0.8616429707463584,S0006_0
Risk_Taker,6,12.901357822595523,93.84277796152199,0,53,191.8101785880686,0.8710098917629865,0.8719999206828083,S0006_0
Opportunist,7,5.0,95.00674836904167,0,53,189.46022581555238,0.8266369365049896,0.7086160080453567,S0006_0
Risk_Taker,1,8.469977914982469,85.70639370486703,1,52,210.01933720351872,0.8664858384471509,0.6459461755093746,S0007_0
Conservative,2,5.0,87.89358566291388,0,52,204.7931013877726,0.95,0.6341407938144843,S0007_0
Balanced,3,6.1108155836345635,90.37667174500184,0,52,199.16644032640497,0.9,0.87318988421355,S0007_0
Adaptive,4,14.54388498063776,89.28397530952851,0,52,201.60392654558487,0.864931994872037,0.8291121036391815,S0007_0
Opportunist,5,13.871654856431924,89.99248769655236,0,52,200.0166954012272,0.9036278513717851,0.8773384475759123,S0007_0
Aggressive,6,5.0,91.52672912726932,0,52,196.66386171159598,0.85,0.6461958679574057,S0007_0
Defensive,7,8.460560735792148,93.18455732299472,0,52,193.16505349280897,0.8459425084050407,0.7506334799265331,S0007_0
Conservative,1,15.412276795480444,97.16588157255792,1,59,185.25021034835802,0.95,0.9010918054656272,S0008_0
Balanced,2,5.0,99.2560565578821,0,59,181.3491349971488,0.9,0.8848784866167643,S0008_0
Defensive,3,5.0,99.58643691710746,0,59,180.74750495373803,0.8689495785724338,0.7234159272112731,S0008_0
Adaptive,4,5.0,99.65789689393667,0,59,180.61789944410464,0.8780104748799993,0.6774678423265121,S0008_0
Aggressive,5,5.0,100.45505628737448,0,59,179.18460916996472,0.85,0.830506314917833,S0008_0
