agent,final_position,battery_soc,lap_time,won,laps_completed,avg_speed,consistency_rating,strategy_effectiveness,scenario_id
Defensive,6,13.615202246013775,92.1796259637342,0,53,195.27091601653555,0.8809882649189005,0.7705682044703928,S0004_0
Risk_Taker,7,5.0,93.34646529708206,0,53,192.83001174938613,0.9192927117916031,0.9175907151791323,S0004_0
Conservative,1,5.0,88.31554090610464,1,58,203.81463800507373,0.95,0.6112795692138495,S0005_0
Opportunist,2,5.0,88.3880270658331,0,58,203.6474916064509,0.8669736504441661,0.6464436571076789,S0005_0
Defensive,3,6.574578211250811,91.0789478917079,0,58,197.63074142448207,0.8204505953252393,0.7434627077506879,S0005_0
Balanced,4,5.0,90.27565626707909,0,58,199.38930099546758,0.9,0.6118916261037677,S0005_0
Aggressive,5,5.0,91.924637340782,0,58,195.81257561311443,0.85,0.715882628123471,S0005_0
Risk_Taker,6,13.464193688255122,91.95799664331183,0,58,195.7415413236838,0.9011348724831252,0.8966366773076259,S0005_0
Adaptive,7,12.64945638320917,93.12911418788482,0,58,193.2800516462082,0.895449615155834,0.7107132169846472,S0005_0
Adaptive,1,5.0,94.20784224385251,1,68,191.06689603831344,0.8039163289291165,0.9323912264398776,S0006_0
Conservative,2,5.0,97.16502352868889,0,68,185.25184625396946,0.95,0.6727575783580241,S0006_0
Risk_Taker,3,5.0,96.79104427431083,0,68,185.9676185431688,0.8773047067162205,0.9690245808359006,S0006_0
Balanced,4,5.0,99.71357335214682,0,68,180.51704893205957,0.9,0.7318968274541584,S0006_0
Opportunist,5,7.0564208357226335,100.59203676347988,0,68,178.94060582870048,0.926728473745818,0.680952089671807,S0006_0
Aggressive,6,5.0,100.36212581534573,0,68,179.35052544739676,0.85,0.8546863593946052,S0006_0
Defensive,7,5.0,102.34759522493168,0,68,175.8712548198224,0.8900883380699823,0.745395391363746,S0006_0
Opportunist,1,5.0,86.52440578103287,1,58,208.0337892819809,0.9148364335210417,0.7082597521916787,S0007_0
Conservative,2,8.985140736686947,87.9358174691368,0,58,204.69474803390025,0.95,0.7543342694542672,S0007_0
Defensive,3,5.0,89.30878752895792,0,58,201.5479159221996,0.8606594670197881,0.7954463005573839,S0007_0
Risk_Taker,4,5.0,90.78549593584788,0,58,198.26955632559867,0.802134214113254,0.7172121791791858,S0007_0
Balanced,5,5.0,89.10465319371409,0,58,202.0096521880612,0.9,0.9288501963262822,S0007_0
Aggressive,6,5.0,93.06101276596071,0,58,193.42149268532276,0.85,0.7028380699403813,S0007_0
Adaptive,7,5.0,94.15740470125716,0,58,191.1692453409314,0.8331234119119684,0.8733123081369409,S0007_0
Conservative,1,5.0,96.71028864027188,1,60,186.12290639472334,0.95,0.7337687351195561,S0008_0
Balanced,2,5.0,98.92081202113734,0,60,181.9637307076874,0.9,0.9544116933817176,S0008_0
Risk_Taker,3,5.0,100.13303163578165,0,60,179.76086118586926,0.8065694625885147,0.6711563982140284,S0008_0
Opportunist,4,10.093059680838028,99.77982013183528,0,60,180.39719831341932,0.9395049270729171,0.7770034726696557,S0008_0
Aggressive,5,5.0,100.22097773880901,0,60,179.60311709301735,0.85,0.6893140918397792,S0008_0
Defensive,6,16.57515198258009,103.31505146073366,0,60,174.22437239787035,0.9427717647974029,0.8782787612446099,S0008_0
Adaptive,7,5.0,102.74229458878222,0,60,175.19561999314453,0.9498913331458337,0.7480253187659547,S0008_0
Adaptive,1,5.0,96.52318898231827,1,53,186.48368531729048,0.8959276695876479,0.9385259548028312,S0009_0
Opportunist,2,5.0,97.42386150107434,0,53,184.75966485686368,0.8519124774989266,0.794244217715696,S0009_0
Defensive,3,5.0,96.1502023773768,0,53,187.20709426437173,0.816231701277493,0.7587996095250163,S0009_0
Conservative,4,5.0,97.42602709864055,0,53,184.75555799658764,0.95,0.7283781295441738,S0009_0
Balanced,5,5.0,99.93460081851066,0,53,180.1177955640155,0.9,0.9588508224615565,S0009_0
Risk_Taker,6,5.0,101.43348255584034,0,53,177.45619638062595,0.8897046360140434,0.9708073387979994,S0009_0
Aggressive,7,5.0,102.43951847659272,0,53,175.71343820903428,0.85,0.8058627961249245,S0009_0
Opportunist,1,5.0,94.1128639225377,1,66,191.25971997638302,0.8047139338515074,0.8382592072540801,S0010_0
Conservative,2,17.550053708164945,96.67266761730475,0,66,186.19533776864492,0.95,0.6983584016592549,S0010_0
Defensive,3,8.137808802856567,97.16675761459005,0,66,185.2485401581128,0.9415200246693357,0.9504774881798097,S0010_0
Balanced,4,5.068781159782323,98.07963087257366,0,66,183.52434486000294,0.9,0.7777623784024171,S0010_0
Adaptive,5,5.0,99.61618844977808,0,66,180.69352261028112,0.8294696970144964,0.7139431269849921,S0010_0
Aggressive,6,5.0,100.9631371842196,0,66,178.2828911819251,0.85,0.9621939643737316,S0010_0
Risk_Taker,7,7.331982063383839,100.9920191138495,0,66,178.2319054311449,0.8949389255986359,0.8510394562107859,S0010_0
Defensive,1,7.087889369531518,94.70292217272636,1,69,190.068052674977,0.9313008008404131,0.9351971042069974,S0011_0
Risk_Taker,2,5.0,94.430883370354,0,69,190.61560537779522,0.9305012616669651,0.6546318365921154,S0011_0
Adaptive,3,6.510193773018582,95.82482657767518,0,69,187.8427610344724,0.8781288465573891,0.7640936167196751,S0011_0
Conservative,4,5.0,96.83180547338674,0,69,185.88933576114226,0.95,0.8812542564998032,S0011_0
Balanced,5,5.0,99.58386065348205,0,69,180.75218094459981,0.9,0.6071323133357032,S0011_0
Opportunist,6,5.0,99.51574875598217,0,69,180.87589376568872,0.93206485041621,0.897948990761317,S0011_0
